audited,bank,broadCastDate,companyName,consolidated,cumulative,difference,exchdisstime,filingDate,financialYear,format,fromDate,indAs,industry,isin,oldNewFlag,params,period,reInd,relatingTo,resultDescription,resultDetailedDataLink,seqNumber,symbol,toDate,xbrl,seqNumber_int
Un-Audited,N,2013-01-18 18:04:57,Reliance Industries Limited,Non-Consolidated,Non-cumulative,::,,18-Jan-2013 18:11,01-Apr-2012 To 31-Mar-2013,Old,2012-10-01,Non-Ind-AS,-,INE002A01018,N,01-Oct-201231-Dec-2012Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_102076.html,102076,RELIANCE,2012-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,102076
Audited,N,2013-04-17 11:49:02,Reliance Industries Limited,Non-Consolidated,Cumulative,00:03:00,17-Apr-2013 11:52:02,17-Apr-2013 11:49,01-Apr-2012 To 31-Mar-2013,Old,2012-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201231-Mar-2013ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_104126.html,104126,RELIANCE,2013-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,104126
Audited,N,2013-04-17 11:53:02,Reliance Industries Limited,Consolidated,Cumulative,00:03:01,17-Apr-2013 11:56:03,17-Apr-2013 11:53,01-Apr-2012 To 31-Mar-2013,Old,2012-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201231-Mar-2013ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_104127.html,104127,RELIANCE,2013-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,104127
Un-Audited,N,2013-07-19 20:41:02,Reliance Industries Limited,Non-Consolidated,Non-cumulative,00:03:00,19-Jul-2013 20:44:02,19-Jul-2013 20:41,01-Apr-2013 To 31-Mar-2014,Old,2013-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201330-Jun-2013Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_109047.html,109047,RELIANCE,2013-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,109047
Un-Audited,N,2013-10-15 10:01:01,Reliance Industries Limited,Non-Consolidated,Non-cumulative,00:03:02,15-Oct-2013 10:04:03,15-Oct-2013 10:01,01-Apr-2013 To 31-Mar-2014,Old,2013-07-01,Non-Ind-AS,-,INE002A01018,N,01-Jul-201330-Sep-2013Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_111507.html,111507,RELIANCE,2013-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,111507
Un-Audited,N,2014-01-17 18:17:02,Reliance Industries Limited,Non-Consolidated,Non-cumulative,00:03:01,17-Jan-2014 18:20:03,17-Jan-2014 18:17,01-Apr-2013 To 31-Mar-2014,Old,2013-10-01,Non-Ind-AS,-,INE002A01018,N,01-Oct-201331-Dec-2013Q3UNNNAERELIANCE,Quarterly,-,Third Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_113918.html,113918,RELIANCE,2013-12-31,https://nsearchives.nseindia.com/corporate/xbrl/-,113918
Audited,N,2014-04-21 12:45:01,Reliance Industries Limited,Non-Consolidated,Cumulative,00:03:02,21-Apr-2014 12:48:03,21-Apr-2014 12:45,01-Apr-2013 To 31-Mar-2014,Old,2013-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201331-Mar-2014ANANCNAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_116280.html,116280,RELIANCE,2014-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,116280
Audited,N,2014-04-21 12:49:02,Reliance Industries Limited,Consolidated,Cumulative,00:03:01,21-Apr-2014 12:52:03,21-Apr-2014 12:49,01-Apr-2013 To 31-Mar-2014,Old,2013-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201331-Mar-2014ANANCCAERELIANCE,Annual,-,Annual,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_116281.html,116281,RELIANCE,2014-03-31,https://nsearchives.nseindia.com/corporate/xbrl/-,116281
Un-Audited,N,2014-07-21 14:21:02,Reliance Industries Limited,Non-Consolidated,Non-cumulative,00:03:01,21-Jul-2014 14:24:03,21-Jul-2014 14:21,01-Apr-2014 To 31-Mar-2015,Old,2014-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201430-Jun-2014Q1UNNNAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_120696.html,120696,RELIANCE,2014-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,120696
Un-Audited,N,2014-07-21 14:25:02,Reliance Industries Limited,Consolidated,Non-cumulative,00:03:01,21-Jul-2014 14:28:03,21-Jul-2014 14:25,01-Apr-2014 To 31-Mar-2015,Old,2014-04-01,Non-Ind-AS,-,INE002A01018,N,01-Apr-201430-Jun-2014Q1UNNCAERELIANCE,Quarterly,-,First Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_120697.html,120697,RELIANCE,2014-06-30,https://nsearchives.nseindia.com/corporate/xbrl/-,120697
Un-Audited,N,2014-10-13 19:41:02,Reliance Industries Limited,Consolidated,Non-cumulative,00:03:01,13-Oct-2014 19:44:03,13-Oct-2014 19:41,01-Apr-2014 To 31-Mar-2015,Old,2014-07-01,Non-Ind-AS,-,INE002A01018,N,01-Jul-201430-Sep-2014Q2UNNCAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_122816.html,122816,RELIANCE,2014-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,122816
Un-Audited,N,2014-10-13 19:41:02,Reliance Industries Limited,Non-Consolidated,Non-cumulative,00:03:01,13-Oct-2014 19:44:03,13-Oct-2014 19:41,01-Apr-2014 To 31-Mar-2015,Old,2014-07-01,Non-Ind-AS,-,INE002A01018,N,01-Jul-201430-Sep-2014Q2UNNNAERELIANCE,Quarterly,-,Second Quarter,,https://nsearchives.nseindia.com/archives/financial_results/financial_res_RELIANCE_122817.html,122817,RELIANCE,2014-09-30,https://nsearchives.nseindia.com/corporate/xbrl/-,122817
