symbol,broadcast_date,year,month_name,month_num,day_of_month,relating_to,from_date,to_date
TVSMOTOR,2024-10-23,2024,October,10,23,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ADANIGREEN,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BAJFINANCE,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ETERNAL,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MFSL,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PAYTM,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PERSISTENT,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SRF,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
SUPREMEIND,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
UNIONBANK,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
VBL,2024-10-22,2024,October,10,22,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
CGPOWER,2024-10-21,2024,October,10,21,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
ULTRACEMCO,2024-10-21,2024,October,10,21,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HDFCBANK,2024-10-20,2024,October,10,20,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
KOTAKBANK,2024-10-19,2024,October,10,19,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
RBLBANK,2024-10-19,2024,October,10,19,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TECHM,2024-10-19,2024,October,10,19,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
AXISBANK,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HINDZINC,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
JIOFIN,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LTF,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
OBEROIRLTY,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TATACONSUM,2024-10-18,2024,October,10,18,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HAVELLS,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
INFY,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
LTM,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MPHASIS,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
NESTLEIND,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
POLYCAB,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
WIPRO,2024-10-17,2024,October,10,17,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
BAJAJ-AUTO,2024-10-16,2024,October,10,16,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
KEI,2024-10-16,2024,October,10,16,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HDFCAMC,2024-10-15,2024,October,10,15,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
MAHABANK,2024-10-15,2024,October,10,15,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
HCLTECH,2024-10-14,2024,October,10,14,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
RELIANCE,2024-10-14,2024,October,10,14,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
DMART,2024-10-12,2024,October,10,12,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TATAELXSI,2024-10-11,2024,October,10,11,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
TCS,2024-10-10,2024,October,10,10,Qtr ended 30-SEP-2024,01-JUL-2024,30-SEP-2024
PFC,2023-11-09,2023,November,11,9,Qtr ended 30-SEP-2023,01-JUL-2023,30-SEP-2023
CHOLAFIN,2023-11-03,2023,November,11,3,Qtr ended 30-SEP-2023,01-JUL-2023,30-SEP-2023
SBICARD,2023-10-27,2023,October,10,27,Qtr ended 30-SEP-2023,01-JUL-2023,30-SEP-2023
SHRIRAMFIN,2023-10-26,2023,October,10,26,Qtr ended 30-SEP-2023,01-JUL-2023,30-SEP-2023
MANAPPURAM,2018-11-28,2018,November,11,28,Qtr ended 30-SEP-2018,01-JUL-2018,30-SEP-2018
BAJAJHLDNG,2018-10-25,2018,October,10,25,Qtr ended 30-SEP-2018,01-JUL-2018,30-SEP-2018
